n,signature,new_signature_at_n,first_seen_n
212,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
213,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
214,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
215,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
216,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
217,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
218,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
219,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
220,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
221,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
222,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
223,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
224,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
225,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
226,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
227,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
228,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
229,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
230,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
231,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
232,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
233,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
234,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
235,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
236,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
237,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
238,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
239,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
240,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
241,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
242,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
243,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
244,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
245,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
246,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
